Employee ID,Time in Job Profile
204822,4.95
205317,4.95
210855,4.95
213714,4.95
213844,4.95
216827,4.95
218403,20.3
219303,8.91
220547,20.03
221551,2.89
221585,19.93
222141,4.95
222993,19.32
224490,4.95
240394,4.95
244406,0.27
246857,3.56
259091,4.95
261588,4.95
264664,5.42
265601,5.5
265890,5.5
267318,17.67
268135,4.95
270560,18.61
272994,4.95
273851,0.27
274059,15.01
274189,4.84
278480,6.02
278802,4.95
280808,0.12
281710,4.95
282989,21.76
283628,20.02
283779,19.64
283888,5.15
284326,5.07
284522,4.95
285736,17.58
287024,4
291854,1.6
295158,4.95
297238,4.95
297372,4.95
299616,9.92
299658,20.49
299839,5.5
301035,5.42
302302,4.18
312280,18.09
313503,5.5
314714,7.92
315344,17.6
316288,5.42
319170,3.4
321446,3.01
321452,5
323403,5.5
330836,3.33
332878,8.41
334350,4.95
335807,0.27
338203,0.38
344033,9.64
348919,4.59
353894,2.5
360736,5.5
376021,8.76
376398,2.73
376547,4.95
384763,4.95
388988,9.41
389379,2.41
389841,9.54
390241,8.75
395079,8.75
416100,3.61
419793,5.5
422676,4.95
437937,8.12
445246,2.35
457424,8.1
458937,9.56
464279,1.87
465337,0.27
465659,3.63
469286,4.95
471963,0.16
476200,5.08
476590,4.95
477026,5.07
478622,4.95
478944,1.87
479037,7.7
488107,0.27
489693,3.67
490430,4.95
490652,4.95
492373,1.64
493597,4.95
505308,0.17
505636,2.05
511240,4.95
512152,4.95
530706,2.89
530880,4.95
532114,3.27
533221,7.33
534745,2.58
537481,16.26
539006,16.26
547577,4.95
548798,3
551786,5.21
552106,7.27
553999,4.95
555292,8.56
555939,2.73
571246,4
574743,5.04
575398,0.14
582604,5.33
584378,3.7
588784,4.95
591717,15.8
592503,4.95
595435,15.64
600110,10.64
614141,6.84
622706,4.95
626013,4.95
634371,4.95
672149,8.41
697239,4.67
707486,4.95
720826,10.25
729475,4.95
729553,9.13
733453,4.88
736893,7.98
737009,6.47
737499,2.58
739941,5.23
748025,4.33
748560,6.89
751687,2.58
754992,5.33
756922,6.01
761002,1.54
768792,4.16
776250,7.2
782307,4.95
783577,3.08
785853,6.99
786611,8.64
787234,7.07
793772,14.8
794404,5.72
795352,3.04
795653,7.24
795765,6.24
796125,5
796639,6.89
796903,6.51
801111,6.01
802351,0.91
805178,6.13
806652,4.22
818007,3.58
828296,3.95
830219,1.12
838376,0.27
870088,4.27
887825,2.58
898744,6.55
903932,4.95
904861,5.42
906856,9.41
906870,9.41
906982,5.42
912059,4.95
919074,4.95
924545,9.54
925987,10.17
927256,5
934945,4.95
993051,2.67
1000006,5.5
1000210,14.34
1000718,5.42
1002648,12.97
